Title,Author,Year,Citation count,Open access,Keyword
The sedimentary markers of the Messinian salinity crisis and their relation with salt tectonics on the Provencal margin (western Mediterranean): results from the “MAURESC” cruise,Edda Marlène Obone-Zue-Obame|Virginie Gaullier|Françoise Sage|Agnès Maillard|Johanna Lofi|Bruno C. Vendeville|Isabelle Thinon|Jean‐Pierre Réhault,2011,19,NOT Open Access,Geology|Halite|Subaerial|Evaporite|Facies|Sedimentary rock|Paleontology|Salt tectonics|Clastic rock|Structural basin|Diapir
Effectiveness and components of self-management interventions in adult cancer survivors: a protocol for a systematic review and planned meta-analysis,Colleen Cuthbert|Haider Samawi|Brenda R. Hemmelgarn|Winson Y. Cheung,2018,11,Open Access,Medicine|Psychological intervention|PsycINFO|CINAHL|Meta-analysis|MEDLINE|Systematic review|Randomized controlled trial|Self-management|Nursing|Surgery|Pathology
Preparation and Properties of Vinyl Fluoride,Sina Ebnesajjad,2013,3,NOT Open Access,Acetylene|Fluoride|Hydrogen fluoride|Catalysis|Materials science|Flammability|Oxide|Pyrolysis|Organic chemistry|Chemistry|Inorganic chemistry|Composite material
VHDL made easy,David Pellerin|Douglas. Taylor,1996,24,NOT Open Access,VHDL|Computer science|Programming language|Application-specific integrated circuit|Comparator|Field-programmable gate array|Arithmetic|Theoretical computer science|Computer hardware|Mathematics|Engineering
Effectiveness of autogenic training on psychological well-being and quality of life in adults living with chronic physical health problems: a protocol for a systematic review of RCT,Pilar Ramirez-Garcìa|Jérôme Leclerc-Loiselle|Christine Genest|Renaud Lussier|Golsa Dehghan,2020,12,Open Access,Medicine|CINAHL|MEDLINE|Psychological intervention|Systematic review|Randomized controlled trial|Protocol (science)|Quality of life (healthcare)|Cochrane Library|Alternative medicine|Physical therapy|Nursing
Changes in Documentation Due to Patient Access to Electronic Health Records: Protocol for a Scoping Review,Eva Meier-Diedrich|Gail Davidge|Maria Hägglund|Anna Kharko|Camilla Lyckblad|Brian McMillan|Charlotte Blease|Julian Schwarz,2023,14,Open Access,Documentation|CINAHL|PsycINFO|Protocol (science)|MEDLINE|Medical education|Health care|Medicine|Critical appraisal|Psychology|Computer science|Nursing|Alternative medicine|Psychological intervention|Political science
Preparation procedures of food and beverage samples for oxygen bomb calorimetry: A scoping review and reporting checklist,Zane Hopper|Ben Desbrow|Shelley Roberts|Christopher Irwin,2023,11,Open Access,Calorimetry|Sample (material)|Calibration|Sample preparation|Sample size determination|Checklist|Chemistry|Food science|Statistics|Mathematics|Chromatography|Physics|Psychology
"Exploring the research needs, barriers and facilitators to the collection of biological data in adolescence for mental health research: a scoping review protocol paper",Courtney Worrell|Rebecca Pollard|Tyler Weetman|Zara Sadiq|Maria Pieptan|Gillian Brooks|Matthew A. Broome|Niyah Campbell|Nzinga Gardner|Seeromanie Harding|Anna Lavis|Rosemary McEachan|Valeria Mondelli|Craig Morgan|Chiara Nosarti|Talya Porat|David P. Ryan|Lea Schmid|Katy Shire|Anthony Woods|Carmine M. Pariante|CELEBRATE Youth Expert Working Group|Paola Dazzan|Rachel Upthegrove,2024,2,Open Access,Psychosocial|Mental health|Scopus|Medicine|MEDLINE|Public health|Protocol (science)|Grey literature|Systematic review|Population|Medical education|Alternative medicine|Psychiatry|Nursing|Environmental health
Generative Adversarial Networks for Synthetic Data Generation in Deep Learning Applications,Mohamed Islam Keskes,2025,1,Open Access,Adversarial system|Generative grammar|Generative adversarial network|Artificial intelligence|Deep learning|Computer science|Synthetic data|Machine learning
Characterising generalism in clinical practice: a systematic mixed studies review protocol,Martina Kelly|Sarah Cheung|Mariam Keshavjee|A Stevenson|Josephine Elliott|Surinder Singh|Madeleine Foster|Sophie Park,2021,7,Open Access,Generalist and specialist species|PsycINFO|Qualitative research|MEDLINE|Medical education|Systematic review|Psychology|Medicine|Nursing|Sociology|Ecology|Political science|Social science|Biology
The metabolic signature of cardiorespiratory fitness: a protocol for a systematic review and meta-analysis,Justin Carrard|C Guerini|Christian Appenzeller‐Herzog|Denis Infanger|Karsten Königstein|Lukas Streese|Timo Hinrichs|Henner Hanssen|Héctor Gallart‐Ayala|Julijana Ivanišević|Arno Schmidt‐Trucksäss,2021,7,Open Access,Cardiorespiratory fitness|Meta-analysis|Protocol (science)|MEDLINE|Population|Presentation (obstetrics)|Medicine|Bioinformatics|Biology|Alternative medicine|Pathology|Internal medicine|Environmental health
Innovations in peer review in scholarly publishing: a meta-summary,Helen Buckley Woods|Johanna Brumberg|Wolfgang Kaltenbrunner|Stephen Pinfield|Ludo Waltman,2022,7,Open Access,Scopus|Publishing|Web of science|Systematic review|Technical peer review|Peer review|Data science|Knowledge management|Computer science|Meta-analysis|Political science|MEDLINE|Medicine
GenSQL: A Probabilistic Programming System for Querying Generative Models of Database Tables,Mathieu Huot|Matin Ghavami|Alexander K. Lew|Ulrich Schaechtle|Cameron E. Freer|Z. Shelby|Martin Rinard|Feras A. Saad|Vikash K. Mansinghka,2024,6,Open Access,Computer science|Database|Probabilistic logic|Programming language|Generative grammar|Information retrieval|Artificial intelligence
Pharmacists’ roles in supporting people living with severe and persistent mental illness: a systematic review protocol,Sarira El‐Den|Sara S. McMillan|Amanda Wheeler|Ricki Ng|Helena Roennfeldt|Claire L. O’Reilly,2020,6,Open Access,CINAHL|Medicine|PsycINFO|Checklist|Inclusion (mineral)|MEDLINE|Systematic review|Scopus|Cochrane Library|Alternative medicine|Pharmacist|Protocol (science)|Mental illness|Nursing|Mental health|Family medicine|Pharmacy|Psychiatry|Psychological intervention|Psychology|Pathology
Active Design: Architectural Interventions for Improving Occupational Health Through Reducing Sedentary Behavior - A Systematic Review,Faris Ali Mustafa|Janan Ali,2022,7,NOT Open Access,Legibility|CINAHL|Psychological intervention|Inclusion (mineral)|Built environment|Applied psychology|Appeal|Psychology|Medical education|Environmental health|Engineering|Medicine|Nursing|Business|Social psychology|Advertising|Civil engineering|Political science
Systematic review of assessment in undergraduate competency-based medical education and extrapolation of an assessment framework for Indian context - A study protocol,Sandeep K. Gupta|Tripti Srivastava,2023,6,Open Access,Scopus|Context (archaeology)|Systematic review|Computer science|Protocol (science)|Process (computing)|MEDLINE|Journal club|Quality (philosophy)|Quality assessment|Set (abstract data type)|Critical appraisal|Medical education|Medical physics|Management science|Medicine|Alternative medicine|World Wide Web|External quality assessment|Pathology
Physical Rehabilitation and Mobilization in Patients Receiving Extracorporeal Life Support: A Systematic Review,Julian D. Rivera|E. Spencer Fox|Shannon M. Fernando|Alexandre Tran|Daniel Brodie|Eddy Fan|Jo-anne Fowles|Carol Hodgson|Joseph E. Tonna|Bram Rochwerg,2024,10,Open Access,Medicine|Extracorporeal membrane oxygenation|Data extraction|Rehabilitation|Life support|Extracorporeal|Grading (engineering)|Mechanical ventilation|Randomized controlled trial|Psychological intervention|Cochrane Library|Meta-analysis|Physical therapy|Emergency medicine|MEDLINE|Intensive care medicine|Internal medicine|Nursing
Decoding community-acquired pneumonia: a systematic review and analysis of diagnostic criteria and definitions used in clinical trials,Markus Fally|Jan Hansel|Rebecca C. Robey|Faiuna Haseeb|Ahmed Kouta|Thomas M. Williams|Timothy Felton|Alexander G. Mathioudakis,2024,7,Open Access,Pneumonia|Medicine|Intensive care medicine|Clinical trial|MEDLINE|Pathology|Internal medicine|Biology
HCVIVdb: The hepatitis-C IRES variation database,Evan Floden|Anas Khawaja|Václav Vopálenský|Martin Pospíšek,2016,6,Open Access,Biology|Parasitology|Internal ribosome entry site|Virology|Variation (astronomy)|Genetics|Zoology|RNA|Ribosome|Gene
Expert Knowledge Elicitation: Accessing the Big Data in Experts’ Brains,J Robledo|Aaron I. Plex Sulá|Lauren G. Jaworski|Romaric A. Mouafo-Tchinda|K. F. Andersen|Sara Thomas‐Sharma|Karen A. Garrett,2025,1,NOT Open Access,Subject-matter expert|Expert elicitation|Expert system|Big data|Legal expert system|Scalability|Knowledge base|Domain knowledge
Protocol for a scoping review study to identify and map treatments for dysphagia following moderate to severe acquired brain injury,Signe Janum Eskildsen|Daniela Jakobsen|Christian Gunge Riberholt|Ingrid Poulsen|Derek John Curtis,2019,8,Open Access,Medicine|Dysphagia|Protocol (science)|Neurology|Intensive care medicine|Alternative medicine|Surgery|Pathology|Psychiatry
Structured medication reviews for adults with multimorbidity and polypharmacy in primary care: a systematic review protocol,Elena Lammila-Escalera|Geva Greenfield|Reham Aldakhil|Hadar Zaman|Ana Luísa Neves|Azeem Majeed|Benedict Hayhoe,2024,7,Open Access,Medicine|Polypharmacy|Primary care|Protocol (science)|Family medicine|Alternative medicine|Gerontology|Intensive care medicine|Pathology
Understanding discrimination towards persons experiencing homelessness: A scoping review protocol,Sarah L. Canham|Jeffrey N Rose|Rachel Weldrick|Elizabeth Siantz|Tallie Casucci|Mary McFarland,2022,9,Open Access,CINAHL|PsycINFO|Psychological intervention|Medicine|Citation|Science Citation Index|Grey literature|Context (archaeology)|MEDLINE|Stigma (botany)|Social Sciences Citation Index|Citation index|Social stigma|Inclusion (mineral)|Psychiatry|Psychology|Family medicine|Library science|Social psychology|Political science
Lo Stato egiziano nelle fonti scritte del periodo tinita,Simone Lanna,2008,3,NOT Open Access,Period (music)|History|State (computer science)|Cartography|Geography|Archaeology|Art|Computer science|Algorithm
Calculation of Kinematic Characteristics of Internal Combustion Engine Valve Gear,Alexander Vasilyev|Yulia Bakhracheva,2018,3,NOT Open Access,Kinematics|Internal combustion engine|Mechanism (biology)|Software|Mechanical engineering|Automotive engineering|Kinematic diagram|Computer science|Engineering|Combustion|Kinematic chain|Physics|Classical mechanics|Chemistry
"Underlying Data and Figures for ""Indigenous Tuber-Based Food Systems in Indonesia and Southeast Asia: An Integrative Review of Food Security, Postharvest Biology, and Food Microbiology",Muh Akbar Idris,2026,1,Open Access,Scopus|Indigenous|Documentation|Postharvest|Food microbiology|Food systems
Distributed Synthesis of Differentially Private Tabular Datasets,"Fu, Yucheng",2025,0,Open Access,Source code|Code (set theory)|Data source|Noise (video)|Key (lock)|Synthetic data
"Effectiveness of the “Evidence-Based Scientific Exercise Guidelines” in Increasing Cardiorespiratory Fitness, Cardiometabolic Health, and Muscle Strength in Acute Spinal Cord Injury Rehabilitation: A Systematic Review",Lauren Richings|David Nelson|Victoria L. Goosey‐Tolfrey|Clare Donnellan|Vicky Booth,2023,9,Open Access,Cardiorespiratory fitness|Medicine|Physical therapy|Rehabilitation|CINAHL|Physical fitness|Systematic review|Psychological intervention|Aerobic exercise|Spinal cord injury|Physical strength|Physical medicine and rehabilitation|Sports medicine|MEDLINE|Nursing|Spinal cord
Reaction Schemes Visualized in Network Form: The Syntheses of Strychnine as an Example,John Proudfoot,2013,3,NOT Open Access,Computer science|Disk formatting|Representation (politics)|Key (lock)|Set (abstract data type)|Retrosynthetic analysis|Data mining|Theoretical computer science|Programming language|Chemistry
Distributed Synthesis of Differentially Private Tabular Datasets,"Fu, Yucheng",2025,0,Open Access,Source code|Code (set theory)|Data source|Noise (video)|Key (lock)|Synthetic data
Cyber space evolution,Vladimir Hahanov|Anna Hahanova|Vagan Zakaryan,2010,2,NOT Open Access,Associative property|Computer science|Theoretical computer science|Combinatory logic|Multiprocessing|Predicate (mathematical logic)|Boolean function|Algorithm|Programming language|Parallel computing|Mathematics
Value of preoperative staging of endometrial carcinoma with contrast-enhanced ultrasonography,Xiaozhen Tong|Xiaofen Wu|Qiaohong Zhang,2021,9,Open Access,Medicine|Ultrasonography|Carcinoma|Radiology|Neoplasm staging|Contrast (vision)|Value (mathematics)|Gynecology|Internal medicine
Consensus to context: AI-driven data extraction – an International HRD Delphi study,Amanda Legate,2025,1,NOT Open Access,Delphi method|Delphi|Data extraction|Extraction (chemistry)
A Robust Control Algorithm for Single Input Single Output Dynamic Object Based on Table-Based Q-Method of Reinforcement Learning,Mikhail V. Medvedev|Viacheslav Pshikhopov|I. D. Evdokimov,2025,10,Open Access,Reinforcement learning|Computer science|Table (database)|Algorithm|Object (grammar)|Artificial intelligence|Control (management)|Data mining
In-Memory Fault as Address Simulation,Wajeb Gharibi|Svetlana Chumachenko|Maryna Mіroshnyk|Marina Abashidze|Eugenia Litvinova|Georgiy Kulak|Vladimir Hahanov|Alexander Mishchenko,2023,3,NOT Open Access,Computer science|Truth table|Fault model|Algorithm|Fault (geology)|Stuck-at fault|Fault coverage|Theoretical computer science|Computer engineering|Parallel computing|Fault detection and isolation|Artificial intelligence|Engineering
"Overview of machine learning in class imbalance scenarios: Trends, challenges, and approaches",Gilberto Sussumu Hida|André Câmara Alves Do Nascimento,2025,12,NOT Open Access,Computer science|Class (philosophy)|Artificial intelligence|Machine learning|Data science
Generative Metric Evaluation in Tabular Synthesis Model Ranking,SOVEREIGN Research Kernel,2026,0,Open Access,Generative grammar|Ranking (information retrieval)|Metric (unit)|Generative model|Bayesian probability|Measure (data warehouse)
The Journey to Adulthood: A Systematic Review of Interventions in Type 1 Diabetes Paediatric to Adult Transition Care,Nada Aljohani|Sara Donetto|Mette Due‐Christensen|Angus Forbes,2024,5,Open Access,Psychological intervention|Medicine|Disengagement theory|Type 1 diabetes|Intervention (counseling)|Population|MEDLINE|Transitional care|Health care|Family medicine|Gerontology|Diabetes mellitus|Nursing
MACHINE LEARNING APPLICATIONS IN RENEWABLE ENERGY: PREDICTIVE ANALYTICS FOR SOLAR CELL PERFORMANCE OPTIMIZATION AND ENERGY YIELD FORECASTING,Abdus Salam Howlader,2025,8,Open Access,Prognostics|Robustness (evolution)|Photovoltaic system|Predictive analytics|Probabilistic logic|Feature engineering|Renewable energy|Inference|Artificial neural network|Predictive modelling
Generative Metric Evaluation in Tabular Synthesis Model Ranking,SOVEREIGN Research Kernel,2026,0,Open Access,Generative grammar|Ranking (information retrieval)|Metric (unit)|Generative model|Bayesian probability|Measure (data warehouse)
Modeling and Control of Nonlinear Systems.,John Hauser,1996,4,NOT Open Access,Nonlinear system|Control (management)|Computer science|Artificial intelligence|Physics
Application of Constancy-Species Groups for Numerical Ordering of Phytosociological Tables-The Synoptic Table Version,Jaroslav Moravec,1980,3,NOT Open Access,Table (database)|Geography|Simple (philosophy)|Rewriting|Group (periodic table)|Mathematics|Computer science|Data mining
Innovations in peer review in scholarly publishing: a meta-summary,Helen Buckley Woods|Johanna Brumberg|Wolfgang Kaltenbrunner|Stephen Pinfield|Ludo Waltman,2022,7,Open Access,Peer review|Technical peer review|Scopus|Publishing|Systematic review|Web of science|Public relations|Political science|Knowledge management|Psychology|Engineering ethics|Computer science|MEDLINE|Engineering
A Systematic Review of the Effect of Gene–Lifestyle Interactions on Metabolic-Disease-Related Traits in South Asian Populations,Manahil M Bineid|Eduard Flores Ventura|Aryan Samidoust|Venkatesan Radha|Ranjit Mohan Anjana|Vasudevan Sudha|Gemma Walton|Viswanathan Mohan|Karani S. Vimaleswaran,2024,7,Open Access,Disease|Biology|Genetics|Gerontology|Medicine|Internal medicine
Real-time collaborative analysis with (almost) pure SQL,Daniel Halperin|François Ribalet|Konstantin Weitz|Mak A. Saito|Bill Howe|E. Virginia Armbrust,2013,5,NOT Open Access,Computer science|SQL|Variety (cybernetics)|Metadata|Field (mathematics)|Context (archaeology)|Data science|World Wide Web|Relational database|Information retrieval|Database
TTVAE: Transformer-based generative modeling for tabular data generation,Association for Artificial Intelligence 2026|Binh Nguyen,2026,0,Open Access,Generative grammar|Autoencoder|Adaptability|Adversarial system|Interpolation (computer graphics)|Representation (politics)|Data integration|Data modeling
Parental perspectives on oral health‐related quality of life in children and adolescents with autism spectrum disorder: A systematic review,Mousumi Goswami|Supriya Bhatara|Mohit Bhatara|Shrey Raj Singh,2023,9,NOT Open Access,Medicine|Autism spectrum disorder|Autism|Quality of life (healthcare)|Oral health|Quality (philosophy)|Clinical psychology|Pediatrics|Psychiatry|Family medicine|Nursing
Using virtual patients to enhance empathy in medical students: a scoping review protocol,Rie Yamada|Kaori Futakawa|Kuangzhe Xu|Satoshi Kondo,2025,11,Open Access,Medicine|Empathy|Protocol (science)|Medical education|Alternative medicine|Psychiatry|Pathology
Russian institution of bankruptcy under its legal transformation,О.А. Львова,2021,10,Open Access,Bankruptcy|Debtor|Creditor|Business|Debt|Computer science|Actuarial science|Accounting|Political science|Law|Finance
"Symptoms, adverse events, and outcomes in the use of medicinal cannabis in children and adolescents with autism spectrum disorder: a scoping review protocol",Sarah Fletcher|Colleen Pawliuk|Angie Ip|Tim F. Oberlander|Harold Siden,2020,5,NOT Open Access,Autism spectrum disorder|Autism|Psychiatry|Protocol (science)|Medicine|Adverse effect|Clinical psychology|Psychology|Alternative medicine|Pharmacology
Novel high functionality fault tolerant ALU,Shaveta Thakral|Dipali Bansal,2020,5,Open Access,Computer science|Logic block|Fault tolerance|Computer architecture|Logic gate|Logic synthesis|Arithmetic logic unit|Verilog|Dissipation|Field-programmable gate array|Embedded system|Computer engineering|Distributed computing|Parallel computing|Algorithm
World Cooperative Economy: Development Trends,Olga V. Kaurova|О.В. Шинкарева|Alexander N. Maloletko,2021,4,NOT Open Access,World economy|Alliance|Agriculture|Order (exchange)|Economy|Business|Work (physics)|Novelty|Industrial organization|International trade|Economics|Engineering|Political science|Geography|Finance
TUTOR: Training Neural Networks Using Decision Rules as Model Priors,Shayan Hassantabar|Prerit Terway|Niraj K. Jha,2020,3,Open Access,Computer science|TUTOR|Artificial intelligence|Initialization|Synthetic data|Machine learning|Artificial neural network|Classifier (UML)|Training set|Categorical variable|Deep learning|Set (abstract data type)
GReaTER: Generate Realistic Tabular data after data Enhancement and Reduction,Tsz-Ho Kwok|Chi‐Hua Wang|Guang Cheng,2025,0,Open Access,Leverage (statistics)|Categorical variable|Partition (number theory)|Data reduction|Limiting|ENCODE|Data modeling|Reduction (mathematics)
The effectiveness of surgical versus conservative treatment for symptomatic unilateral spondylolysis of the lumbar spine in athletes: a systematic review,Morné Stephan Scheepers|Judith Streak Gomersall|Zachary Munn,2015,18,NOT Open Access,Spondylolysis|Pars interarticularis|Medicine|Athletes|Physical therapy|Lumbar|Critical appraisal|Psychological intervention|Low back pain|Spondylolisthesis|Surgery|Psychiatry|Alternative medicine
COVID-19 transmission during swimming-related activities: a rapid systematic review,Sally Yaacoub|Joanne Khabsa|Rayane El-Khoury|Amena El‐Harakeh|Tamara Lotfi|Zahra Saad|Zeina Itani|Assem M. Khamis|Ibrahim El Mikati|Carlos A. Cuello‐García|Francisca Verdugo‐Paiva|Gabriel Rada|Holger J. Schünemann|Nesrine Rizk|Elie A. Akl,2021,13,Open Access,Coronavirus disease 2019 (COVID-19)|Medical microbiology|2019-20 coronavirus outbreak|Parasitology|Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)|Transmission (telecommunications)|Tropical medicine|Medicine|Pandemic|Virology|Systematic review|Disease transmission|MEDLINE|Biology|Pathology|Computer science|Infectious disease (medical specialty)|Disease|Outbreak
A Scoping Review on Long‐Term Care Workers' Perceptions of Robot‐Assisted Care for Older Adults in Long‐Term Care Facilities,Yong‐Xin Ruan|Run‐Ping Che|Naonori Kodate|Sarah Donnelly|Yiwen Shi|Xiaoting Liu|Sayuri Suwa|Wenwei Yu|Dexia Kong|Mei‐chun Cheung,2025,8,Open Access,Long-term care|Perception|Nursing|Robot|Health care|Presentation (obstetrics)|Psychology|MEDLINE|Medicine|Computer science|Artificial intelligence
Simple User-Friendly Reaction Format,David F. Nippa|Alex T. Müller|Kenneth Atz|David B. Konrad|Uwe Grether|Rainer E. Martin|Gisbert Schneider,2023,2,Open Access,Computer science|Documentation|Interoperability|Simple (philosophy)|Database|Data sharing|World Wide Web|Data science|Programming language
Efficient Dynamic Attributed Graph Generation,Fan Li|Xiaoyang Wang|Dawei Cheng|Cong Chen|Ying Zhang|Xuemin Lin,2025,5,NOT Open Access,Computer science|Graph|Theoretical computer science
Tobacco prevention and control interventions in humanitarian settings: a scoping review protocol,Nachiket Gudi|Ansuman Swain|Muralidhar M Kulkarni|Sanjay Pattanshetty|Sanjay Zodpey,2022,4,Open Access,CINAHL|Medicine|Scopus|Psychological intervention|MEDLINE|Subject (documents)|Tobacco control|Data extraction|Protocol (science)|Grey literature|Alternative medicine|Medical education|Public health|Nursing|Library science|Law|Pathology
"The crystal structure of piergorite-(Ce), Ca8Ce2(Al0.5 Fe0.53+) 1( ,Li,Be)2Si6B8O36(OH,F)2: A new borosilicate from Vetralla, Italy, with a modified hellandite-type chain",Massimo Boiocchi,2006,9,NOT Open Access,Crystallography|Octahedron|Rutile|Monoclinic crystal system|Titanite|Crystal structure|Crystal twinning|Materials science|Pleochroism|Chemistry|Quartz
Self-management for youth and young adults with special health needs: protocol for a scoping review of health care transition planning literature,Cecily L. Betz|Jennifer Emilie Mannino|Kristin Cleverley|Cara C. Young|Monique M. Ridosh|Lynn Kysh|Sharon Hudson,2021,6,NOT Open Access,Protocol (science)|Health care|Psychology|Self-management|Transition (genetics)|Gerontology|Medicine|Political science|Computer science|Alternative medicine
Labor productivity within the framework of the Labor Productivity and Employment Support national project,Н. З. Зотиков,2024,6,Open Access,Productivity|Labour economics|Labor relations|Business|Economics|Economic growth
Effectiveness of allied health therapy in the symptomatic management of progressive supranuclear palsy,Erica Tilley|James McLoughlin|Simon A. Koblar|Sebastian Doeltgen|Cindy Stern|Sarahlouise White|Micah D.J. Peters,2016,17,NOT Open Access,Psychological intervention|Medicine|Progressive supranuclear palsy|Occupational therapy|Swallowing|Speech-Language Pathology|Rehabilitation|Physical therapy|Aspiration pneumonia|Physical medicine and rehabilitation|Health care|Disease|Psychiatry|Pneumonia|Pathology
Which outcome measurement instruments are used to measure core infant feeding outcomes in children up to 1 year of age? A scoping review protocol,Karen Matvienko‐Sikar|Linda S. Adair|Lucinda Bell|Catherine S. Birken|Vicki Brown|Darren Dahly|Ann Sinéad Doherty|Rebecca K. Golley|Patricia Leahy‐Warren|Marian McBride|Elizabeth McCarthy|Andrew W. Murphy|Sarah Redsell|Caroline B. Terwee,2023,6,Open Access,CINAHL|Medicine|Psychological intervention|MEDLINE|Childhood obesity|Data extraction|Protocol (science)|Intervention (counseling)|Pediatrics|Meta-analysis|Obesity|Alternative medicine|Psychiatry|Overweight|Pathology
Effect of Face Mask on Lowering COVID ‐19 Incidence in School Settings: A Systematic Review,Luka Viera,2024,6,Open Access,Coronavirus disease 2019 (COVID-19)|Incidence (geometry)|Face masks|Observational study|Pandemic|Medicine|Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)|Inclusion (mineral)|2019-20 coronavirus outbreak|MEDLINE|Family medicine|Pediatrics|Psychology|Virology|Internal medicine
Systematization of statistical data on eliminating fires and emergencies occurring during a special military operation,Sergey B. FEDOTOV,2024,1,NOT Open Access,Adversary|Ammunition|Relevance (law)|Operations research|Missile|Identification (biology)|Civil defense|Aeronautics|Political science|Computer security|Engineering|Computer science|Law|History|Archaeology
Digitalization Strategies for Marketing Communications to Build Relationship Marketing: Modern Solutions in Brand Management,Валентина Морохова|Zhyldyz Batyrbekova|Olena Bondarenko|Тетяна Устік|Mariia Saiensus|Віталій Вікторович Травін,2023,11,Open Access,Digital marketing|The Internet|Marketing|Scope (computer science)|Marketing research|Business|Marketing strategy|Computer science|World Wide Web
Advancements in Applications of Surface Modified Nanomaterials for Cancer Theranostics,Iffat Zareen Ahmad|Mohammed Kuddus|Heena Tabassum|Asad Ahmad|Abdul Mabood,2017,13,NOT Open Access,Nanotechnology|Drug delivery|Nanomaterials|Modalities|Computer science|Targeted drug delivery|Materials science
Missing clinical trial data: the evidence gap in the safety of potential COVID-19 drugs,Florence Rodgers|Toby Pepperrell|Sarai Keestra|Victoria Pilkington,2020,1,Open Access,Coronavirus disease 2019 (COVID-19)|2019-20 coronavirus outbreak|Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)|Clinical trial|Missing data|Medicine|Virology|Computer science|Internal medicine|Outbreak|Infectious disease (medical specialty)|Machine learning
Outcome measures for disease-modifying therapies in relapsing multiple sclerosis randomized clinical trials: a scoping review protocol,Rosa Camila Lucchetta|Magda Laíse Oliveira|Aline de Fátima Bonetti|Fernando Fernández-Llimós|Astrid Wiens,2020,5,Open Access,Medicine|Randomized controlled trial|Context (archaeology)|Clinical trial|Population|Disease|Multiple sclerosis|Quality of life (healthcare)|Cochrane Library|Protocol (science)|MEDLINE|Physical therapy|Intensive care medicine|Alternative medicine|Internal medicine|Pathology|Psychiatry
Determinants of Leadership in Higher Education in European Countries,Iryna Pozovna|Stanislav Arhipov|Aleksandra Kuzior,2023,9,Open Access,Higher education|Globalization|Principal component analysis|Political science|Accounting|Economic growth|Economics|Statistics|Mathematics
TTVAE: Transformer-Based Generative Modeling for Tabular Data Generation (Abstract Reprint),Alex X. Wang|Binh Nguyen,2026,0,Open Access,Generative grammar|Autoencoder|Adversarial system|Adaptability|Interpolation (computer graphics)|Representation (politics)|Data integration|Data modeling|Generative model
Review of the Studies Cited in the DataBase Section of the American Journal of Health Promotion,Troy B. Adams|Sarah M. Keup|David R. Anderson|April M Brockmann,2004,4,NOT Open Access,Section (typography)|Health promotion|Promotion (chess)|Medicine|Political science|Business|Public health|Advertising|Nursing
Factors contributing to a positive childbirth experience for women in a hospital setting: an umbrella review protocol,Tara S. Price|Chelsey Andries|Michelle Palokas|Robin Christian,2021,5,NOT Open Access,CINAHL|Childbirth|Systematic review|Scopus|MEDLINE|Medicine|Grey literature|Nursing|PsycINFO|Critical appraisal|Family medicine|Alternative medicine|Psychological intervention|Pregnancy|Political science
Provincial Sustainability Evaluation Based on the Standardized National Emergy Database,Chen Wang|Gengyuan Liu|Siheng Ren|Xinyu Liu|Yan Hao,2016,5,Open Access,Emergy|Sustainability|China|Resource (disambiguation)|Non-renewable resource|Unit (ring theory)|Environmental economics|Renewable energy|Environmental resource management|Database|Geography|Business|Computer science|Environmental science|Economics|Engineering|Mathematics|Ecology
"Key Issues in Agricultural Labour Markets: A Review of Major Studies and Project Reports on Agriculture and Rural Labour Markets. Factor Markets Working Paper No. 20, February 2012",Barbara Tocco|Sophia Davidova|Alastair Bailey,2012,4,NOT Open Access,Agriculture|European union|Economics|Public economics|Regional science|Economic policy|Geography
A Systematic Framework for Tabular Data Disentanglement,Ivan Tjuawinata|Andre Gunawan|Anh Quan Tran|Nitish Kumar|Payal Pote|Harsh Bansal|Chu-Hung Chi|Kwok-Yan Lam|Parventanis Murthy,2026,0,Open Access,External Data Representation|Scalability|Representation (politics)|Process (computing)|Data modeling|Core (optical fiber)|Data type
Emotion Regulation and Coping in Active Military Personnel: A Systematic Review,Rebecca Kirkham|Chang Liu|Teresa Wulandari|Eugene Aidman|Murat Yücel|Joshua F. Wiley|Lucy Albertella,2025,8,Open Access,PsycINFO|Mental health|Psychology|Applied psychology|Scopus|Military service|Military personnel|Population|Personality|Clinical psychology|Coping (psychology)|MEDLINE|Social psychology|Medicine|Psychiatry|Political science|Environmental health
Effects of music listening on adult patientsʼ pre-procedural state anxiety in hospital,Elizabeth Gillen|Francis C. Biley|Davina Allen,2008,17,NOT Open Access,Anxiety|Active listening|Feeling|Anticipation (artificial intelligence)|Population|Psychology|Medicine|Randomized controlled trial|Clinical psychology|Psychiatry|Psychotherapist|Social psychology
A Systematic Framework for Tabular Data Disentanglement,Ivan Tjuawinata|Andre Gunawan|Anh Quan Tran|Nitish Kumar|Payal Pote|Harsh Bansal|Chu-Hung Chi|Kwok-Yan Lam|Parventanis Murthy,2026,0,Open Access,External Data Representation|Scalability|Representation (politics)|Process (computing)|Data modeling|Core (optical fiber)|Data type
"A systematic review protocol of injuries and illness across all the competitive cycling disciplines, including track cycling, mountain biking, road cycling, time trial, cyclocross, gravel cycling, BMX freestyle, BMX racing, e-sport, para-cycling and artistic cycling",Thomas Fallon|Neil Heron,2024,8,Open Access,Cycling|Time trial|Track (disk drive)|Environmental science|Medicine|Engineering|Geography|Forestry
