Geography,Gender,HasCrCard,IsActiveMember,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,borrar,Exited
0,1,1,0,9497,2528,8,10373,0,14543,14517,0
0,1,1,0,4569,288,6,0,1,10801,10753,0
0,0,0,1,5105,2918,2,6153,0,10241,10267,0
2,0,1,0,14235,3918,1,0,3,8993,9044,1
2,1,0,1,7125,5836,4,7638,0,812,770,0
2,1,1,0,1265,518,7,4836,0,21484,21387,0
1,1,1,1,7788,1652,5,14740,0,9228,9193,0
2,1,1,0,21930,2544,4,0,1,3216,3189,0
0,0,1,0,19974,2936,1,7372,0,5611,5711,0
0,0,1,1,1277,1652,8,0,1,13348,13420,0
0,0,1,1,4146,3541,2,0,0,22825,22850,1
0,0,1,0,23722,1062,6,0,1,21072,21078,0
0,1,1,0,7271,2040,1,0,1,20819,20823,0
0,0,1,1,9681,3541,4,0,1,4344,4505,0
0,1,0,0,11044,298,7,14169,0,22253,22205,0
0,0,1,1,22896,842,3,0,1,5283,5324,0
0,1,1,1,14442,412,5,0,0,19074,19144,0
0,1,0,1,392,4634,2,13643,0,18247,18225,0
2,1,1,0,19103,3918,8,0,1,22183,22147,0
1,1,1,1,2324,3498,8,1193,1,9131,9169,1
0,1,1,1,4089,1161,2,0,1,9058,9066,0
1,1,1,0,14272,2406,6,5958,1,5163,5166,0
0,0,0,1,22547,2833,0,0,0,3120,3023,0
2,1,1,1,21297,2142,1,0,2,11087,10941,1
2,0,1,1,23645,1161,1,5993,0,22123,22151,0
0,1,0,0,9198,3845,7,0,0,22534,22580,1
0,1,0,0,21714,1604,4,0,1,4891,4937,0
0,1,1,1,3793,1346,2,5362,0,14574,14560,0
2,0,1,0,5117,1038,4,0,1,16880,16842,0
2,0,0,1,21023,4219,4,14744,1,20771,20722,1
2,0,1,0,14722,2668,2,0,1,5883,6129,1
2,1,0,1,7543,2544,6,0,0,11974,12077,0
0,1,1,0,18119,1781,7,0,1,17274,17212,0
0,1,1,0,2162,1903,4,0,1,13680,13608,0
0,0,1,1,16308,1298,9,0,1,5476,5439,0
1,1,0,1,9129,3394,7,10539,0,6706,6706,0
0,0,0,0,20005,1418,4,0,1,12265,12305,0
1,0,0,1,16966,3519,4,11461,1,24495,24549,0
0,1,1,1,2215,3033,6,4242,0,3666,3676,0
0,0,1,1,24052,1652,3,4669,1,1056,1082,0
2,1,1,0,10252,3541,4,0,0,15269,15213,0
0,1,1,0,12706,1298,7,0,1,14424,14445,0
0,1,1,0,8188,1038,2,0,0,17870,17855,0
2,0,1,0,12,3590,2,12962,0,18793,19220,1
1,0,1,0,10667,2668,10,15018,0,9218,9329,0
1,1,1,0,6101,2040,4,223,3,14854,14805,1
2,0,0,0,7720,4921,6,0,0,11309,11289,1
2,1,1,1,10430,4051,2,13325,0,2709,2642,0
0,0,1,0,18538,1527,4,3358,0,7607,7615,0
0,0,1,0,9211,4820,2,11466,0,14154,13990,1
2,0,1,0,23188,4280,1,0,1,9052,9119,1
0,1,1,1,16483,2156,6,12471,0,1932,1933,0
0,0,1,1,2634,3234,2,0,1,5876,5857,0
1,0,1,1,13414,1418,7,15687,0,16717,16882,0
1,1,1,0,14031,2492,4,9696,1,11530,11498,0
0,1,1,1,3363,5815,9,0,1,14673,14463,0
1,1,1,1,6589,1652,0,7059,1,23643,23537,0
0,0,1,1,4527,3033,4,13071,0,20078,20121,1
0,1,0,0,7352,2276,5,6262,0,19456,19414,0
0,1,0,1,24960,1781,5,5159,0,7150,7241,0
0,1,1,1,12364,5487,8,709,0,24800,24700,0
0,0,1,0,7413,3688,9,0,2,18314,18315,1
0,0,1,0,4654,5243,6,0,0,1210,1179,1
0,0,1,1,17443,922,6,0,0,14856,14832,0
0,0,1,1,24151,1298,7,0,1,5822,5876,0
1,0,1,0,3014,3033,7,7071,0,20188,20241,1
0,1,1,0,133,2668,4,3003,0,22281,22362,1
0,1,1,1,2410,3791,1,0,0,3170,3166,0
0,1,1,0,10515,1854,9,0,1,23242,23236,0
1,0,0,0,7640,4424,6,5294,0,14604,14609,1
1,1,0,0,22289,1652,5,9844,0,429,421,0
2,0,1,0,12846,1418,3,0,2,19996,20004,1
1,1,1,1,5307,6162,8,4076,0,24250,24244,0
0,1,1,1,16682,2276,6,12511,0,11767,11827,0
2,1,1,1,24998,1781,8,0,1,5647,5673,0
0,0,1,0,11605,2544,2,0,1,9282,9281,0
0,0,0,1,17504,194,0,4377,1,327,313,0
0,0,1,0,17093,1916,2,16022,1,17652,17647,0
0,1,1,0,5619,2803,2,12216,0,2986,2961,0
0,1,1,0,9756,1652,3,7864,0,5557,5530,0
1,1,1,0,6200,3095,2,2647,1,22746,22739,0
0,1,0,0,968,298,5,2091,1,20630,20801,1
2,1,0,0,23339,3663,0,14661,0,23800,23760,1
2,1,1,1,18510,377,7,15290,0,17852,17808,0
1,1,1,0,21536,1813,7,2213,1,18131,18276,0
0,1,1,0,13566,2544,7,5200,0,25806,25804,0
2,1,1,1,21517,3200,2,211,0,490,469,0
2,0,0,0,11648,2544,6,0,0,9629,9658,1
1,1,1,0,7892,3575,4,6158,0,25003,24974,1
1,0,1,0,4659,2276,10,10668,0,5998,5996,1
0,0,1,0,14355,1418,8,0,1,6594,6626,0
1,1,0,1,21388,1418,5,5839,0,13771,13836,0
0,0,1,1,15997,2276,5,10269,1,20479,20459,0
0,1,1,0,13506,3033,1,3745,0,23774,23750,1
0,0,0,1,16960,411,9,0,1,20746,20573,0
0,0,1,1,17547,3791,5,10070,0,15241,15142,0
0,0,1,0,19569,1418,4,0,0,14241,14437,0
1,0,1,0,1619,2668,2,3439,1,9460,9458,0
1,1,1,1,1642,518,4,1442,0,20245,20192,0
2,1,1,0,18773,1527,6,2655,0,8532,8538,0
2,1,1,0,18204,1161,2,0,0,6054,6017,0
1,0,1,0,3891,2156,9,3973,0,9455,9664,1
0,0,1,1,2797,3327,0,5874,0,12816,12961,1
0,0,1,1,11094,2406,4,1537,0,10088,10043,0
2,1,1,1,7045,2040,5,1399,1,25074,25071,0
0,0,1,1,3142,5214,2,2268,0,4500,4494,1
1,0,1,0,20720,2668,6,12539,1,9894,9914,0
0,0,0,1,8678,1916,8,1710,1,6114,6162,0
2,0,1,0,21110,1298,8,0,1,16586,16542,0
0,1,0,0,4912,2208,2,5931,0,2582,2595,0
0,1,0,1,616,2544,6,0,1,21417,21375,0
0,0,1,1,4511,2156,10,0,0,7740,7740,0
0,1,0,0,15274,4077,8,13944,0,15991,16060,1
2,1,1,0,1013,2156,9,2200,0,13714,13698,0
1,0,1,0,1774,3541,4,11687,0,2264,2254,1
1,0,1,0,9827,3394,2,8686,0,23777,23801,1
2,0,1,0,9631,840,6,16167,1,14360,14322,0
1,1,1,1,20907,3918,3,4116,0,12223,12147,1
0,1,0,1,18870,1161,7,5312,1,10888,10790,0
2,1,1,0,17646,2406,2,0,0,25173,25191,0
1,1,0,1,129,3033,9,16165,1,24221,24273,0
0,1,0,1,13185,1916,1,2347,1,15119,14971,0
0,0,1,0,16101,1161,4,10196,1,25585,25587,0
0,1,1,0,19723,2406,1,0,1,23947,23950,0
0,1,1,0,23096,1221,10,2519,1,23744,23815,0
0,0,1,1,25284,1652,3,0,1,23198,23231,0
0,1,0,1,23052,3169,1,16207,0,18413,18302,0
1,1,1,1,11260,4513,8,6903,0,24772,24755,1
0,0,1,0,18157,2406,4,0,1,25750,25756,0
2,1,1,1,5828,1781,2,16235,0,2996,3003,0
0,0,0,0,15590,1298,6,16413,0,5220,5113,1
2,0,1,1,7718,1652,5,0,1,17698,17721,0
1,0,1,0,3900,2803,4,12647,1,24275,24263,0
2,1,1,0,19403,4319,4,0,0,17172,17113,1
0,1,1,0,5981,1625,9,0,0,3422,3382,0
0,1,0,1,1833,1161,4,0,0,6254,6164,0
1,1,1,1,20398,2156,8,4685,1,23064,23056,0
0,1,1,1,3431,2276,7,0,0,5128,5097,0
2,1,1,1,12291,3541,9,0,0,7879,7866,1
0,0,1,1,24408,4666,9,0,1,13385,13455,0
2,1,1,0,15102,3791,5,15109,0,18235,18257,1
0,1,1,0,20259,1652,5,0,1,4718,4715,0
0,1,0,0,10033,1781,0,0,0,15165,15299,0
2,1,1,0,1425,922,4,0,1,12928,12975,0
0,0,1,1,17970,1781,3,0,0,9717,9871,0
1,1,0,1,15155,1161,3,2606,0,7185,7517,0
0,0,1,0,453,3828,5,13601,0,19057,19045,1
1,1,1,1,2586,2276,1,3607,0,9376,9362,1
2,0,1,1,16766,1298,10,4596,0,16023,16148,0
0,1,1,0,5594,2304,5,0,1,8569,8700,0
0,1,1,0,24146,1038,1,14202,1,5252,5325,0
2,1,1,0,9900,2156,3,0,0,9787,9758,0
0,1,1,0,24980,3394,5,5019,1,20462,20409,0
0,1,1,0,5359,1161,9,0,0,12868,12940,1
2,1,0,1,3134,1298,7,3778,0,15997,16142,0
0,1,1,0,15935,1916,4,11027,1,9001,9026,0
0,0,1,0,5157,2812,1,0,1,1414,1389,0
1,0,1,1,3934,3033,5,5220,1,19573,19566,1
1,0,1,1,14824,781,7,13686,0,14988,15059,1
0,0,1,0,14722,2918,7,0,0,10116,10231,0
1,0,0,0,21094,3394,2,6747,0,13704,13666,1
0,1,0,0,14236,2276,6,0,1,21519,21468,0
1,0,0,1,6031,2668,6,13501,0,6967,7160,0
1,1,1,1,3205,3629,9,3888,1,11699,11718,0
2,1,1,0,20901,2803,2,0,1,3876,3888,1
1,0,1,0,15815,2156,9,12957,0,11119,11107,1
1,1,1,0,15783,781,9,7721,0,13504,13551,0
0,0,1,0,5029,2803,0,0,1,15684,15675,0
1,1,1,1,21814,1781,0,8512,1,8023,7921,0
0,1,1,1,8093,2276,7,0,1,24219,24225,0
0,1,0,0,13476,2156,5,0,1,19797,19762,0
0,0,1,0,25205,1781,10,2265,0,12254,12145,0
0,1,1,1,6604,2276,7,13505,0,6860,6902,0
0,1,0,0,9868,1161,6,14413,0,6287,6298,0
2,1,1,1,1904,2040,5,0,1,16630,16690,0
2,1,0,0,24661,2406,9,7575,0,24014,24040,0
0,1,0,0,2449,1527,10,11336,0,22876,22924,0
0,1,1,1,16804,1652,9,0,1,25870,25876,0
1,1,1,0,17878,3169,4,4137,0,17723,17725,1
0,0,1,1,15767,1418,5,3533,0,7254,7248,0
0,1,0,1,10988,3541,6,8235,0,276,273,0
1,1,1,1,16808,1916,2,391,0,17738,17734,0
0,1,1,0,20883,1298,1,12025,0,17732,17739,0
1,0,1,1,7377,5302,5,4561,0,3847,3917,0
2,1,1,1,12202,1161,7,5048,0,17495,17510,0
1,1,0,1,17530,2276,0,8077,0,22821,22750,0
0,1,1,1,22298,2406,2,4893,1,22295,22309,0
2,1,1,1,14651,42,8,11316,1,14185,14547,0
1,1,1,1,4475,3541,2,5782,0,1452,1441,1
2,0,1,0,9870,183,3,8783,0,3082,3085,0
0,0,0,1,11468,3541,0,3936,1,24764,24706,1
2,1,1,1,24972,1781,4,0,1,8072,8071,0
2,1,1,1,8303,1418,8,0,0,16004,16050,0
0,1,1,0,23838,273,7,15481,0,5832,5865,0
0,1,1,1,21401,1916,8,0,0,14184,14148,0
0,1,1,1,1975,2918,10,8633,0,13037,13050,0
0,1,1,0,14479,2040,10,16354,0,17725,17853,0
0,1,1,0,5065,2803,3,4782,0,10951,10878,0
0,1,1,1,17310,4277,7,0,0,12132,12164,1
1,0,1,0,9704,2803,3,9046,0,25442,25459,1
1,1,1,1,25284,5745,3,13075,0,8623,8648,0
1,1,1,1,16801,4552,4,5244,0,3545,3542,0
0,0,1,0,5675,2276,7,0,0,15172,15140,0
1,1,1,0,9358,2803,5,12251,1,3342,3354,0
0,0,1,0,20912,2668,7,3373,0,17532,17548,0
0,1,1,1,19034,657,1,0,1,25290,25266,0
0,0,0,0,4789,2803,4,0,1,23559,23531,0
0,0,1,0,5067,1298,7,9221,0,20864,20900,1
2,1,1,1,23851,2156,7,0,1,23273,23185,0
1,1,1,0,9857,1916,6,10865,0,25190,25195,1
0,0,1,1,24842,2040,9,15751,1,12243,12270,0
0,0,1,0,5308,1623,4,0,1,9765,9731,0
0,1,1,0,10820,2544,1,0,1,2718,2719,0
0,1,1,0,2372,1916,2,0,1,9510,9476,0
1,1,1,1,21977,2544,7,784,1,14914,14860,0
0,1,1,0,535,2406,1,8642,0,24569,24546,0
2,0,1,0,10751,3760,4,1491,1,18205,18194,1
0,1,1,0,23123,1298,2,0,0,11988,12005,0
2,1,1,1,8917,5914,8,4112,0,4300,4263,0
0,1,1,1,14415,1916,4,14537,0,8679,8562,0
0,0,0,0,2715,411,6,0,1,25258,25335,0
2,1,1,1,17372,1781,1,1883,0,20033,19972,0
1,1,1,1,15466,1761,6,12665,0,7470,7430,0
0,0,0,1,16883,1418,9,0,1,1727,1707,0
1,0,1,0,2348,3967,5,3896,1,17509,17512,0
2,0,1,1,17203,5496,1,0,1,24017,23996,0
0,1,1,0,15449,1298,7,7492,0,12203,12156,0
0,1,0,1,5773,4957,1,0,1,13477,13415,0
2,0,1,0,10048,1298,4,0,1,24161,24194,0
1,1,1,1,9540,1298,8,12269,0,14457,14172,0
0,1,1,0,965,2252,9,205,0,23331,23295,0
2,0,1,0,5458,3169,4,0,1,10070,10092,0
0,1,1,1,15475,1161,6,5790,1,14210,14204,0
0,1,1,0,2927,1781,7,8939,0,20136,20082,0
2,0,1,1,5659,5459,2,0,1,22764,23043,0
0,0,1,1,23012,5345,4,0,1,7021,6925,0
0,1,0,1,12176,1161,3,1821,0,4419,4423,0
0,1,1,1,3300,2668,2,6099,0,10266,10286,0
0,1,0,1,14138,1916,2,1766,0,19326,19371,0
0,0,1,1,15127,2156,1,0,1,11127,11037,0
0,1,1,1,11411,1781,2,15537,1,13256,13254,0
1,1,1,1,16446,1916,6,1525,1,12253,12355,0
1,0,1,0,12635,2406,0,10558,0,11303,11314,1
1,1,1,1,19710,2156,8,11625,1,21272,21233,0
2,1,0,1,6544,2918,1,0,1,17403,17418,0
1,0,0,1,2812,5002,5,8477,1,13808,14042,1
1,1,1,1,1700,781,2,2432,1,23447,23343,0
0,0,1,0,20035,3279,10,0,0,23836,23863,1
1,1,1,0,3752,3394,5,3783,0,23631,23620,1
0,0,1,1,9673,1493,5,2067,1,4683,4678,0
2,0,1,1,21754,1652,1,4546,0,24860,24867,0
0,1,1,1,15161,56,6,0,1,16429,16317,0
1,1,0,1,25284,3169,1,15532,1,23757,23728,0
0,0,1,1,17774,1916,3,0,1,11121,11094,0
2,1,1,1,23475,3169,3,14685,0,776,762,0
0,0,1,1,7848,1038,1,0,1,17934,17961,0
0,1,1,0,13996,1916,2,0,2,23539,23587,0
2,0,1,1,19368,781,5,0,1,19393,19463,0
0,0,1,0,25284,2544,0,5766,0,13260,13245,0
0,1,1,1,20678,1527,3,7342,0,13350,13319,0
1,1,0,1,21391,6090,3,2393,1,1088,1068,0
0,0,0,1,22945,5503,10,4272,0,16941,17246,0
1,1,0,0,3571,53,2,9060,0,18430,18700,0
0,1,1,0,11690,2156,9,8334,0,25466,25478,0
0,1,0,0,23548,3394,2,3099,0,20089,20059,0
0,1,1,1,7048,1626,5,12153,0,21249,21246,0
0,0,1,1,24528,6109,10,1136,1,9801,9373,0
0,1,1,0,24465,2040,4,7749,1,17521,17463,0
2,0,1,0,1348,2040,8,0,0,15657,15718,1
0,1,1,1,14624,657,5,0,1,10465,10477,0
0,0,0,0,4423,1298,5,0,1,12647,12685,0
0,0,1,0,17784,1038,8,0,1,8262,8284,0
1,1,1,0,13038,1781,6,8540,1,15402,15389,1
0,0,1,1,20723,2406,9,0,0,21139,20781,0
0,1,1,1,9731,2156,9,0,1,7155,7047,0
0,1,0,0,22336,1481,4,11704,0,25380,25385,0
2,0,1,1,1010,1161,2,0,1,5172,5161,0
0,0,1,0,3940,1038,10,0,1,12751,12716,0
2,1,1,0,13014,2803,6,0,0,19250,19249,1
0,0,1,1,17383,4051,3,15185,0,4641,4564,0
2,0,0,0,19441,2406,10,0,1,4305,4427,0
2,0,1,0,23945,3702,6,0,1,23537,23540,0
2,0,0,0,5980,2668,7,0,0,18244,18157,0
0,0,1,1,19903,2156,5,0,1,15421,15422,0
1,1,1,1,11988,1916,1,12384,1,12864,12827,0
0,1,0,0,23227,1652,1,0,1,13281,13311,0
2,0,0,0,25265,2406,4,12014,1,20370,20348,0
0,0,1,0,25253,2803,1,0,1,9910,9933,0
0,0,1,1,14002,3921,10,0,1,3686,3580,0
0,1,0,0,8112,1527,8,2643,0,11815,11759,0
0,1,0,1,14854,518,9,923,0,23542,23565,0
2,0,1,0,3557,2397,10,13481,0,9118,9127,0
0,0,0,1,10110,2803,9,0,1,19895,19950,0
0,1,1,0,18648,1418,8,0,1,23831,23858,0
1,1,1,1,8979,4051,2,3355,0,5686,5691,1
1,1,1,1,20208,4914,8,13082,0,25298,25303,1
2,0,1,0,14896,1161,7,0,0,1985,2083,1
1,0,1,1,19570,1038,1,1110,0,12763,12795,0
0,1,1,1,15674,2276,6,0,1,239,257,0
0,0,1,1,8300,123,6,9898,0,9243,9258,0
2,0,0,1,5493,5450,9,0,1,21635,21531,0
0,0,0,1,21990,911,6,9747,1,4198,4223,0
2,1,1,0,10132,2918,7,0,0,903,892,1
0,1,1,0,8264,3663,5,9224,0,3123,3131,1
1,0,1,0,22927,1652,2,5544,0,2351,2397,1
1,0,1,1,23874,6119,7,10939,1,6082,6237,0
0,1,1,1,10450,2276,8,0,1,18334,18320,0
1,0,0,0,23211,2668,2,4315,1,6604,6566,1
1,1,1,0,4899,2040,2,8621,0,2357,2355,1
0,0,1,0,9734,2668,0,0,1,22306,22280,0
0,1,1,1,4204,2406,10,2400,0,8530,7709,0
1,1,1,0,14666,3322,1,14715,1,4921,5014,0
1,1,1,0,15839,2918,9,10127,0,25139,25139,1
1,1,0,0,5016,657,6,3262,1,20806,20648,1
0,0,1,0,14458,1527,8,0,1,24380,24371,0
1,0,1,1,7478,4051,1,280,1,16358,16446,1
2,0,1,0,24841,2800,5,15648,2,1245,1309,1
0,0,0,0,21208,2040,8,10110,0,17207,17237,0
0,0,1,1,22142,4523,0,15813,0,7178,7294,1
0,1,1,1,17376,1298,8,0,1,25794,25787,0
2,0,1,1,17095,5449,8,0,1,10483,10741,0
0,0,0,1,18266,4242,10,0,1,1560,1579,0
0,1,1,1,25143,1527,8,10922,0,23383,23357,0
1,0,1,1,22675,2406,6,5655,1,22230,22175,0
0,1,1,0,23960,2276,5,14201,1,9359,9348,0
0,0,1,0,9746,2338,8,11536,0,19399,19418,1
2,0,1,0,4408,1298,1,11666,0,25106,25079,0
2,0,1,0,6782,2406,0,0,1,13202,13356,0
2,1,0,1,8435,1916,5,0,2,12413,12511,1
0,0,0,1,6926,1652,2,0,1,12994,12950,0
0,0,0,0,4504,1781,5,12100,1,12970,12945,1
0,0,1,1,5529,2406,5,1326,0,12571,12520,0
0,1,1,1,9774,1916,4,0,1,5896,5878,0
0,0,1,1,10381,2406,2,9493,0,21968,22186,0
0,0,1,1,13150,4306,4,11648,1,2880,2860,0
1,0,0,1,1054,657,9,4733,0,8307,8341,0
0,1,1,1,22214,1418,5,4752,0,24132,24111,0
1,0,1,1,22821,2668,9,11627,0,10115,10082,0
1,0,0,1,15808,2668,8,5542,1,695,707,0
1,1,0,0,17534,298,9,1954,1,5748,5766,0
2,0,1,0,3469,2276,9,7081,0,16528,16449,0
0,0,1,1,2378,1038,2,0,1,23603,23580,0
0,1,1,0,20071,2918,7,5504,1,19745,19692,0
0,1,1,0,17141,1527,8,0,1,23807,23831,0
1,1,1,0,8855,2918,7,16333,1,23275,23260,0
1,0,1,1,11187,3279,4,10775,1,4940,4976,0
2,1,0,0,3407,2406,7,0,0,10539,10797,0
2,1,1,0,7230,2544,8,0,1,7641,7631,0
2,1,1,1,62,4483,1,3839,0,7984,7766,1
0,0,0,0,15034,1418,0,15753,0,19825,19993,0
2,1,1,0,10490,183,8,5023,1,11996,12051,0
2,1,1,0,1360,1916,6,0,0,1231,1214,0
0,0,1,0,15491,2156,9,0,0,9568,9605,0
0,1,1,1,23363,1418,5,16035,0,20652,20601,0
0,1,1,1,23385,2614,5,0,1,884,883,0
1,1,0,0,17719,2276,7,5072,1,25905,25909,0
0,1,1,0,10587,2668,5,0,1,7271,7000,0
0,0,0,0,325,3033,1,3845,0,5592,5531,0
0,1,1,0,10036,2851,7,15741,0,23597,23596,1
0,1,1,1,849,2156,7,3617,0,3048,2996,0
0,1,0,1,10536,2406,4,0,1,6160,6097,0
1,1,1,1,4449,2803,5,382,3,18724,18796,1
0,0,1,0,9489,3541,6,0,0,2483,2490,0
0,1,1,1,7210,1816,6,0,1,9435,9442,0
1,1,1,0,16718,1652,3,11036,0,13484,13450,1
2,0,1,1,5625,1652,6,1254,0,17189,17116,0
0,1,0,1,10942,2156,10,4214,1,22618,22602,0
0,0,1,0,16139,3394,2,14897,0,15729,15710,1
2,1,1,1,19884,1916,1,0,0,12113,12272,0
0,1,0,1,17712,5338,4,0,1,3419,3466,0
0,0,1,0,23704,2867,1,5832,0,1751,1762,1
1,0,1,1,5863,1161,1,8091,0,5869,5860,0
0,1,1,0,1012,1916,5,0,1,1367,1369,0
0,0,1,1,25054,2040,5,0,1,16974,16963,0
1,0,1,1,1780,4852,0,10164,0,14104,14067,0
0,1,0,1,13421,2406,1,12963,0,10586,10674,0
0,0,1,1,23564,2406,2,10561,0,20326,20278,0
0,1,0,1,13376,1418,1,0,0,16121,16006,1
0,0,1,1,14722,2040,4,0,1,13721,13663,0
0,1,1,1,24263,3169,7,13148,0,21449,21410,0
0,1,0,1,6437,1916,1,4467,1,9104,9036,0
1,1,1,1,25284,1298,1,14255,1,12358,12635,0
1,0,0,1,25284,1781,2,6049,0,2176,2152,0
0,0,1,1,13890,2544,1,15301,0,22949,22977,1
1,0,1,1,475,2544,4,10883,0,23128,23059,0
2,1,1,1,13987,922,1,16145,1,4904,4843,0
1,0,1,0,10556,1418,7,8522,1,3253,3228,0
2,0,1,0,24380,3791,5,7907,0,4536,4650,0
0,0,1,0,25284,2474,2,16425,0,23638,23486,1
1,1,1,0,20991,2156,9,9333,0,21338,21324,0
0,0,1,1,9550,1916,6,5397,0,12802,12766,0
1,1,0,1,19389,1916,6,13654,0,20990,21023,0
0,1,1,1,12669,1916,9,14424,0,14270,14439,0
2,1,1,0,13282,3370,6,2740,0,22987,23019,0
1,1,1,0,21108,2040,3,5737,0,22145,22135,1
1,1,1,1,14154,2276,2,0,1,18078,18041,0
2,1,0,0,3696,2156,7,1756,0,15095,15115,0
2,1,1,0,747,1652,8,15072,0,5462,5489,0
0,1,1,1,13169,2156,7,12993,0,20269,20291,0
0,0,1,0,25116,2406,3,13329,0,23432,23431,0
0,1,1,1,13322,1781,2,13772,0,25971,25971,0
1,0,1,1,20388,2040,0,6873,1,13142,13204,1
0,0,1,1,8535,922,10,0,1,11796,11932,0
1,1,1,1,12151,1652,4,6598,1,4515,4497,0
2,1,1,1,12147,1038,5,0,1,25640,25618,0
0,0,1,0,1084,2040,1,6184,0,25008,25003,0
1,1,1,1,14335,2276,3,10569,1,7680,7591,0
0,1,1,0,19184,1298,7,0,0,3036,3046,0
0,1,0,1,23205,3541,5,2828,1,21118,21118,1
2,0,1,1,23068,1781,10,0,0,15696,15121,0
2,0,1,1,1017,4643,2,0,1,5095,4985,0
0,1,0,0,25284,2406,2,12907,1,8609,8698,0
2,1,1,1,11172,2276,1,0,1,19870,20015,0
0,0,1,1,5605,781,6,0,1,598,589,0
0,1,0,0,14911,1161,5,0,1,1168,1157,0
0,1,0,1,25284,2276,7,7751,0,17874,17793,0
2,1,0,0,8473,1418,2,14272,1,4667,4633,0
0,1,1,1,15646,1916,8,0,1,6844,6810,0
0,1,1,1,21928,5363,3,14664,0,17370,17388,0
0,1,0,1,11064,1038,9,695,0,17171,17095,0
2,0,1,1,14589,2406,5,11303,1,22818,22799,0
0,1,0,1,25284,3771,3,6944,0,5025,5072,0
0,0,0,1,9919,3279,5,4043,0,10436,10426,0
0,0,1,0,23469,781,5,0,1,23313,23289,0
0,0,1,1,10451,5556,2,0,1,11063,11119,0
0,1,1,0,536,2544,5,11825,1,20554,20477,0
1,1,1,0,23333,1590,9,74,0,10095,10104,0
0,0,0,0,13837,1790,4,2987,0,18510,18503,1
2,1,1,1,9147,3079,7,1350,0,4455,4461,0
0,1,1,0,21375,4045,10,11550,0,19004,18948,0
2,0,1,0,9432,5322,3,0,1,10430,10402,1
1,0,1,0,22175,1618,4,2155,0,9344,9331,1
0,1,0,1,25046,1652,1,14406,1,9682,9820,0
2,1,1,1,22777,1652,8,0,0,13279,13154,0
0,0,1,0,1021,2803,9,14157,0,7306,7222,1
1,0,0,0,23959,2803,1,10934,1,24719,24727,0
0,0,0,0,23790,2040,3,14013,0,18148,18192,0
0,1,1,1,20202,2040,0,4042,0,8740,8845,0
0,1,1,0,12509,2040,8,0,0,17832,17839,0
2,1,1,0,13387,2544,7,0,1,7779,7756,0
2,1,1,0,19159,2040,4,0,1,9362,9241,0
0,0,0,1,8292,2803,5,15878,0,25365,25373,0
2,1,1,0,637,1161,3,0,1,9837,10005,0
2,1,0,0,13183,411,7,6577,1,5041,5071,0
1,1,1,1,2695,1527,7,8298,1,29,29,0
0,1,1,1,24402,6023,9,7200,0,9461,9510,0
0,0,1,0,15767,4424,8,13857,0,4374,4393,1
1,1,1,0,10157,4827,4,4693,0,6821,6905,1
0,1,0,1,24197,5172,3,0,1,4030,3813,0
0,1,1,0,15077,3073,9,0,1,944,918,0
0,0,1,0,17912,1652,2,493,0,10392,10508,0
1,1,1,1,18949,1652,9,6791,1,13751,13722,0
0,0,1,1,11202,5188,8,0,1,15129,15096,0
1,0,1,1,1730,1298,10,404,1,20434,20377,0
0,1,0,0,17345,2040,5,12066,0,11215,11189,0
2,1,1,1,16297,2803,8,2589,1,4994,4968,0
1,0,1,0,11133,922,7,2509,0,25577,25575,0
0,0,0,0,18287,1298,9,5861,0,12499,12531,0
1,0,0,1,1907,5220,1,7012,0,4422,4418,1
1,0,1,0,17171,2197,5,2626,1,25822,25821,0
2,0,1,0,3685,1527,5,0,1,24863,24859,0
0,0,0,0,22140,3394,3,1714,0,23699,23826,1
2,1,1,1,22951,1298,7,10290,0,22570,22654,0
2,1,0,1,2985,1591,5,0,1,8354,8436,0
1,1,0,1,20302,2276,1,10725,1,4932,4851,0
0,0,0,1,1201,2803,1,0,0,13194,13377,1
0,1,0,0,9624,2040,7,8770,0,23191,23197,0
2,1,1,1,10354,1527,3,0,1,1742,1749,0
2,1,0,0,17921,2156,1,14404,0,11389,11351,0
2,1,1,1,10466,1161,9,6021,0,24547,24554,1
1,1,1,0,12272,1527,6,8328,1,19632,19611,0
2,0,1,1,8266,3356,6,1728,0,3429,3395,0
0,0,1,1,10191,2276,5,0,0,10877,10900,0
0,1,1,0,22277,1916,6,6307,1,16284,16111,0
1,1,1,0,10606,1161,6,13263,0,19189,19187,0
2,1,1,0,14722,1038,8,14266,1,17235,17150,0
1,1,0,0,14770,1298,6,8233,0,13854,13904,0
1,1,1,1,4755,1916,6,8379,1,19595,19529,0
0,1,1,0,20379,5004,10,7005,0,18502,18499,0
2,1,1,0,20306,3539,1,0,1,5958,5915,0
0,0,1,1,2511,817,5,0,1,20173,20195,0
1,1,1,0,9297,1781,6,6824,0,11363,11414,0
2,1,1,1,9855,1038,5,0,2,11611,11643,0
1,1,1,0,6233,2544,6,11479,0,10294,10325,1
0,1,1,0,13059,2544,9,0,1,17167,17137,0
0,1,1,1,16148,2803,0,0,0,19634,19699,0
0,0,1,1,15467,1652,7,772,0,2993,2984,0
0,0,1,0,7363,3033,9,0,1,8948,8928,1
1,0,1,1,22185,2156,3,7308,0,827,802,1
1,0,1,1,809,1686,9,7956,0,9948,9986,0
